epoch,categorical_accuracy,loss,lr,val_categorical_accuracy,val_loss
0,0.17202052474021912,5.114466667175293,0.00027,0.30666714906692505,3.7459583282470703
1,0.3690461814403534,3.3847672939300537,0.00027,0.4360082745552063,2.8028576374053955
2,0.4947091042995453,2.5682899951934814,0.00027,0.5031085014343262,2.400606393814087
3,0.5875595211982727,2.042057514190674,0.00027,0.5379090905189514,2.215548038482666
4,0.660181999206543,1.6586346626281738,0.00027,0.5608475208282471,2.1094377040863037
5,0.7181162238121033,1.368056058883667,0.00027,0.5769972801208496,2.047750473022461
6,0.7633863687515259,1.1457809209823608,0.00027,0.5842503905296326,2.0099921226501465
7,0.7996019124984741,0.9703356623649597,0.00027,0.5907889008522034,1.9827791452407837
8,0.8289346694946289,0.829507052898407,0.00027,0.596612811088562,1.9677435159683228
9,0.8525926470756531,0.7148213982582092,0.00027,0.603865921497345,1.9448297023773193
10,0.8725526332855225,0.619648277759552,0.00027,0.6105473637580872,1.9231353998184204
11,0.8894625306129456,0.5384659767150879,0.00027,0.6091896295547485,1.932388186454773
12,0.9039145708084106,0.4693455100059509,0.00027,0.6106188297271729,1.9343162775039673
13,0.9118554592132568,0.43271028995513916,0.000135,0.6229455471038818,1.8747693300247192
14,0.9217490553855896,0.38926559686660767,0.000135,0.6240174174308777,1.871414065361023
15,0.9291402101516724,0.3560601472854614,0.000135,0.6248034834861755,1.8791130781173706
16,0.9294466972351074,0.35196465253829956,6.75e-05,0.6297341585159302,1.8539059162139893
